PM10,PM2.5,SO2,NO2,O3,CO,Latitude,Longitude
73.0,57.0,0.004,0.059,0.002,1.2,37.5720164,127.0050075
71.0,59.0,0.004,0.058,0.002,1.2,37.5720164,127.0050075
70.0,59.0,0.004,0.056,0.002,1.2,37.5720164,127.0050075
70.0,58.0,0.004,0.056,0.002,1.2,37.5720164,127.0050075
69.0,61.0,0.003,0.051,0.002,1.2,37.5720164,127.0050075
70.0,61.0,0.003,0.046,0.002,1.1,37.5720164,127.0050075
66.0,57.0,0.003,0.049,0.002,1.1,37.5720164,127.0050075
71.0,60.0,0.003,0.045,0.002,1.0,37.5720164,127.0050075
72.0,60.0,0.004,0.047,0.002,1.1,37.5720164,127.0050075
74.0,63.0,0.003,0.047,0.002,1.1,37.5720164,127.0050075
76.0,68.0,0.004,0.045,0.004,1.0,37.5720164,127.0050075
83.0,74.0,0.004,0.048,0.005,1.0,37.5720164,127.0050075
93.0,79.0,0.004,0.054,0.005,1.0,37.5720164,127.0050075
94.0,79.0,0.005,0.05,0.0069999999999999,1.0,37.5720164,127.0050075
93.0,78.0,0.006,0.055,0.008,0.9,37.5720164,127.0050075
87.0,69.0,0.006,0.056,0.008,0.8,37.5720164,127.0050075
87.0,69.0,0.006,0.063,0.004,0.9,37.5720164,127.0050075
91.0,72.0,0.005,0.063,0.002,0.9,37.5720164,127.0050075
91.0,69.0,0.005,0.063,0.002,1.0,37.5720164,127.0050075
92.0,70.0,0.005,0.062,0.002,1.0,37.5720164,127.0050075
94.0,74.0,0.004,0.056,0.002,0.9,37.5720164,127.0050075
93.0,74.0,0.004,0.058,0.002,0.9,37.5720164,127.0050075
89.0,73.0,0.004,0.058,0.002,1.0,37.5720164,127.0050075
91.0,72.0,0.004,0.057,0.002,1.0,37.5720164,127.0050075
93.0,72.0,0.004,0.057,0.002,1.1,37.5720164,127.0050075
92.0,74.0,0.004,0.057,0.002,1.0,37.5720164,127.0050075
90.0,73.0,0.004,0.055,0.002,1.0,37.5720164,127.0050075
92.0,74.0,0.004,0.053,0.002,1.0,37.5720164,127.0050075
92.0,76.0,0.004,0.052,0.002,1.1,37.5720164,127.0050075
92.0,77.0,0.004,0.05,0.002,1.0,37.5720164,127.0050075
